today;day=rel;count=0
tomorrow;day=rel;count=1
day after tomorrow;day=rel;count=2
tonight;day=rel;count=0
yesterday;day=rel;count=-1
day before yesterday;day=rel;count=-2
weekend;day=Saturday Sunday
Wednesday;day=Wednesday
Wednesdays;day=Wednesday
Wed.;day=Wednesday
Wed;day=Wednesday
Tuesday;day=Tuesday
Tuesdays;day=Tuesday
Tues.;day=Tuesday
Tues;day=Tuesday
Tue.;day=Tuesday
Tue;day=Tuesday
Thursday;day=Thursday
Thursdays;day=Thursday
Thurs.;day=Thursday
Thurs;day=Thursday
Thur.;day=Thursday
Thur;day=Thursday
Thu.;day=Thursday
Thu;day=Thursday
Sunday;day=Sunday
Sundays;day=Sunday
Sun.;day=Sunday
Sun;day=Sunday
Saturday;day=Saturday
Saturdays;day=Saturday
Sat.;day=Saturday
Sat;day=Saturday
Monday;day=Monday
Mondays;day=Monday
Mon.;day=Monday
Mon;day=Monday
Friday;day=Friday
Fridays;day=Friday
Fri.;day=Friday
Fri;day=Friday
WEDNESDAY;day=Wednesday
WEDNESDAYS;day=Wednesday
WED.;day=Wednesday
WED;day=Wednesday
TUESDAY;day=Tuesday
TUESDAYS;day=Tuesday
TUES.;day=Tuesday
TUES;day=Tuesday
TUE.;day=Tuesday
TUE;day=Tuesday
THURSDAY;day=Thursday
THURSDAYS;day=Thursday
THURS.;day=Thursday
THURS;day=Thursday
THUR.;day=Thursday
THUR;day=Thursday
THU.;day=Thursday
THU;day=Thursday
Sunday;day=Sunday
SUNDAYS;day=Sunday
SUN.;day=Sunday
SUN;day=Sunday
SATURDAY;day=Saturday
SATURDAYS;day=Saturday
SAT.;day=Saturday
SAT;day=Saturday
MONDAY;day=Monday
MONDAYS;day=Monday
MON.;day=Monday
MON;day=Monday
FRIDAY;day=Friday
FRIDAYS;day=Friday
FRI.;day=Friday
FRI;day=Friday
